Hauptbereiche,Leistungsbereiche,Kürzel,Leistungsgruppen,"Insel, Insel Gruppe AG","Tiefenau, Insel Gruppe AG","Münsingen, Insel Gruppe AG","Aarberg, Insel Gruppe AG","Riggisberg, Insel Gruppe AG","Beau-Site, Hirslanden Bern AG","Permanence, Hirslanden Bern AG","Salem, Hirslanden Bern AG","Lindenhof, Lindenhof AG","Sonnenhof, Lindenhof AG","Engeried, Lindenhof AG","Gümligen, Siloah AG","Gümligen, Swiss Medical Network Hospitals SA","Bern, Stiftung Diaconis","Oster- mundigen, GH
Luna AG","Interlaken, Spitäler fmi AG","Frutigen, Spitäler fmi AG","Thun, STS AG","Zweisimmen, STS AG","Thun, Klinik Hohmad AG","Zweisimmen, GH Materinité Alpine","Burgdorf, RSE AG","Langnau, RSE AG","Langenthal, SRO AG","Biel, SZB AG","Biel, Hirslanden Klinik Linde AG Biel","Tschugg, Bethesda","St-Imier, Hôpital du Jura bernois SA","Moutier, Hôpital de Moutier SA","Delémont, Hôpital du Jura SA","Bürger- spital Solothurn, SoH AG","Fond. ""La Chrysalide"", Hôpital neuchâtelois","Pourtalès, Hôpital neuchâtelois","La-Chaux-de- Fonds, Hôpital neuchâtelois"
Basis,Basispaket,BP,Basispaket Chirurgie und Innere Medizin,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
Basis,Basispaket,BPE,Basispaket für elektive Leistungserbringer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nervensystem & Sinnesorgane,Dermatologie,DER1,Dermatologie (inkl. Geschlechtskrankheiten),1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
Nervensystem & Sinnesorgane,Dermatologie,DER1.1,Dermatologische Onkologie,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Nervensystem & Sinnesorgane,Dermatologie,DER1.2,Schwere Hauterkrankungen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nervensystem & Sinnesorgane,Dermatologie,DER2,Wundpatienten,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1,Hals-Nasen-Ohren (HNO-Chirurgie),1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.1,Hals- und Gesichtschirurgie,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.1.1,"Komplexe Halseingriffe (Interdisziplinäre
Tumorchirurgie)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.2,Erweiterte Nasenchirurgie mit Nebenhöhlen,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.2.1,"Erweiterte Nasenchirurgie, Nebenhöhlen mit Duraeröffnung (interdisziplinäre
Schädelbasischirurgie)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.3,"Mittelohrchirurgie (Tympanoplastik, Mastoidchirurgie, Osikuloplastik inkl.
Stapesoperationen)",1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
